ListingCategory,State,Year,freq
Debt,SC,2010,31
Debt,SC,2011,65
Debt,SC,2012,104
Debt,SC,2013,301
Debt,SC,2014,107
Debt,SD,2010,3
Debt,SD,2011,20
Debt,SD,2012,30
Debt,SD,2013,55
Debt,SD,2014,21
Debt,TN,2008,76
Debt,TN,2009,20
Debt,TN,2010,57
Debt,TN,2011,119
Debt,TN,2012,177
Debt,TN,2013,412
Debt,TN,2014,161
Debt,TX,2007,1
Debt,TX,2008,29
Debt,TX,2009,51
Debt,TX,2010,140
Debt,TX,2011,296
Debt,TX,2012,550
Debt,TX,2013,1872
Debt,TX,2014,699
Debt,UT,2007,3
Debt,UT,2008,68
Debt,UT,2009,6
Debt,UT,2010,30
Debt,UT,2011,31
Debt,UT,2012,45
Debt,UT,2013,144
Debt,UT,2014,67
Debt,VA,2007,3
Debt,VA,2008,146
Debt,VA,2009,31
Debt,VA,2010,101
Debt,VA,2011,206
Debt,VA,2012,321
Debt,VA,2013,789
Debt,VA,2014,306
Debt,VT,2008,10
Debt,VT,2009,1
Debt,VT,2010,5
Debt,VT,2011,9
Debt,VT,2012,18
Debt,VT,2013,57
Debt,VT,2014,23
Debt,WA,2007,8
Debt,WA,2008,207
Debt,WA,2009,32
Debt,WA,2010,82
Debt,WA,2011,151
Debt,WA,2012,231
Debt,WA,2013,591
Debt,WA,2014,230
Debt,WI,2007,2
Debt,WI,2008,78
Debt,WI,2009,14
Debt,WI,2010,43
Debt,WI,2011,111
Debt,WI,2012,204
Debt,WI,2013,489
Debt,WI,2014,170
Debt,WV,2008,16
Debt,WV,2009,7
Debt,WV,2010,4
Debt,WV,2011,18
Debt,WV,2012,34
Debt,WV,2013,101
Debt,WV,2014,30
Debt,WY,2007,1
Debt,WY,2008,6
Debt,WY,2010,4
Debt,WY,2011,3
Debt,WY,2012,9
Debt,WY,2013,47
Debt,WY,2014,13
Home,AK,2008,3
Home,AK,2009,1
Home,AK,2010,1
Home,AK,2011,5
Home,AK,2012,9
Home,AK,2013,7
Home,AK,2014,1
Home,AL,2008,21
Home,AL,2009,2
Home,AL,2010,12
Home,AL,2011,18
Home,AL,2012,46
Home,AL,2013,37
Home,AL,2014,10
Home,AR,2008,2
Home,AR,2009,1
Home,AR,2010,2
Home,AR,2011,6
Home,AR,2012,29
Home,AR,2013,29
Home,AR,2014,9
Home,AZ,2008,13
Home,AZ,2009,1
Home,AZ,2010,7
Home,AZ,2011,18
Home,AZ,2012,58
Home,AZ,2013,43
Home,AZ,2014,14
Home,CA,2007,2
Home,CA,2008,73
Home,CA,2009,22
Home,CA,2010,40
Home,CA,2011,113
Home,CA,2012,341
Home,CA,2013,322
Home,CA,2014,69
Home,CO,2008,10
Home,CO,2009,6
Home,CO,2010,6
Home,CO,2011,21
Home,CO,2012,58
Home,CO,2013,42
Home,CO,2014,10
Home,CT,2008,4
Home,CT,2009,4
Home,CT,2010,3
Home,CT,2011,22
Home,CT,2012,62
Home,CT,2013,81
Home,CT,2014,15
Home,DC,2008,2
Home,DC,2010,2
Home,DC,2011,7
Home,DC,2012,9
Home,DC,2013,7
Home,DC,2014,4
Home,DE,2008,1
Home,DE,2009,2
Home,DE,2010,2
Home,DE,2011,8
Home,DE,2012,13
Home,DE,2013,5
Home,DE,2014,3
Home,FL,2007,1
Home,FL,2008,44
Home,FL,2009,15
Home,FL,2010,38
Home,FL,2011,99
Home,FL,2012,256
Home,FL,2013,181
Home,FL,2014,52
Home,GA,2007,2
Home,GA,2008,39
Home,GA,2009,13
Home,GA,2010,33
Home,GA,2011,56
Home,GA,2012,151
Home,GA,2013,142
Home,GA,2014,17
Home,HI,2008,1
Home,HI,2010,3
Home,HI,2011,1
Home,HI,2012,8
Home,HI,2013,17
Home,HI,2014,3
Home,IA,2008,6
Home,ID,2008,2
Home,ID,2010,4
Home,ID,2011,4
Home,ID,2012,7
Home,ID,2013,5
Home,ID,2014,3
Home,IL,2007,3
Home,IL,2008,28
Home,IL,2009,7
Home,IL,2010,33
Home,IL,2011,71
Home,IL,2012,168
Home,IL,2013,153
Home,IL,2014,27
Home,IN,2007,1
Home,IN,2008,13
Home,IN,2009,8
Home,IN,2010,16
Home,IN,2011,33
Home,IN,2012,63
Home,IN,2013,51
Home,IN,2014,12
Home,KS,2007,1
Home,KS,2008,5
Home,KS,2010,7
Home,KS,2011,11
Home,KS,2012,37
Home,KS,2013,26
Home,KS,2014,1
Home,KY,2008,4
Home,KY,2009,1
Home,KY,2010,6
Home,KY,2011,15
Home,KY,2012,33
Home,KY,2013,34
Home,KY,2014,9
Home,LA,2008,2
Home,LA,2010,3
Home,LA,2011,15
Home,LA,2012,35
Home,LA,2013,20
Home,LA,2014,1
Home,MA,2008,8
Home,MA,2009,1
Home,MA,2010,4
Home,MA,2011,25
Home,MA,2012,69
Home,MA,2013,68
Home,MA,2014,22
Home,MD,2008,19
Home,MD,2009,4
Home,MD,2010,14
Home,MD,2011,42
Home,MD,2012,99
Home,MD,2013,80
Home,MD,2014,9
Home,ME,2008,1
Home,MI,2007,2
Home,MI,2008,15
Home,MI,2009,5
Home,MI,2010,16
Home,MI,2011,51
Home,MI,2012,126
Home,MI,2013,115
Home,MI,2014,34
Home,MN,2008,19
Home,MN,2009,4
Home,MN,2010,9
Home,MN,2011,25
Home,MN,2012,62
Home,MN,2013,67
Home,MN,2014,13
Home,MO,2008,26
Home,MO,2009,5
Home,MO,2010,21
Home,MO,2011,26
Home,MO,2012,69
Home,MO,2013,52
Home,MO,2014,10
Home,MS,2008,6
Home,MS,2009,6
Home,MS,2011,12
Home,MS,2012,26
Home,MS,2013,33
Home,MS,2014,3
Home,MT,2007,1
Home,MT,2008,1
Home,MT,2010,1
Home,MT,2011,5
Home,MT,2012,2
Home,MT,2013,10
Home,MT,2014,1
Home,NC,2008,13
Home,NC,2009,11
Home,NC,2010,18
Home,NC,2011,40
Home,NC,2012,114
Home,NC,2013,72
Home,NC,2014,22
Home,ND,2008,2
Home,NE,2008,3
Home,NE,2010,4
Home,NE,2011,6
Home,NE,2012,13
Home,NE,2013,24
Home,NE,2014,4
Home,NH,2008,4
Home,NH,2009,1
Home,NH,2010,3
Home,NH,2011,9
Home,NH,2012,21
Home,NH,2013,11
Home,NH,2014,5
Home,NJ,2008,13
Home,NJ,2009,4
Home,NJ,2010,10
Home,NJ,2011,37
Home,NJ,2012,108
Home,NJ,2013,94
Home,NJ,2014,23
Home,NM,2008,1
Home,NM,2010,2
Home,NM,2011,9
Home,NM,2012,9
Home,NM,2013,9
Home,NM,2014,1
Home,NV,2008,3
Home,NV,2010,2
Home,NV,2011,10
Home,NV,2012,39
Home,NV,2013,32
Home,NV,2014,4
Home,NY,2008,34
Home,NY,2009,4
Home,NY,2010,37
Home,NY,2011,68
Home,NY,2012,214
Home,NY,2013,234
Home,NY,2014,37
Home,OH,2008,36
Home,OH,2009,10
Home,OH,2010,31
Home,OH,2011,46
Home,OH,2012,126
Home,OH,2013,114
Home,OH,2014,23
Home,OK,2007,1
Home,OK,2008,10
Home,OK,2009,4
Home,OK,2010,6
Home,OK,2011,9
Home,OK,2012,26
Home,OK,2013,18
Home,OK,2014,7
Home,OR,2007,1
Home,OR,2008,15
Home,OR,2009,4
Home,OR,2010,6
Home,OR,2011,18
Home,OR,2012,43
Home,OR,2013,29
Home,OR,2014,9
Home,PA,2008,13
Home,PA,2009,6
Home,PA,2010,17
Home,PA,2011,52
Home,PA,2012,126
Home,PA,2013,94
Home,PA,2014,18
Home,RI,2008,3
Home,RI,2009,1
Home,RI,2010,1
Home,RI,2011,5
Home,RI,2012,12
Home,RI,2013,20
Home,RI,2014,3
Home,SC,2008,7
Home,SC,2009,3
Home,SC,2010,5
Home,SC,2011,13
Home,SC,2012,45
Home,SC,2013,38
Home,SC,2014,6
Home,SD,2009,1
Home,SD,2010,2
Home,SD,2011,1
Home,SD,2012,2
Home,SD,2013,7
Home,TN,2008,4
Home,TN,2009,5
Home,TN,2010,15
Home,TN,2011,30
